Order Date,Order ID,Product Name,Category,City,Country,Customer Name,Discount,Postal Code,Manufacturer,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category,Year,Revenue,Running Total
2015-06-01,CA-2015-131926,Safco Steel Mobile File Cart,Office Supplies,Lakeville,United States,Dianna Wilson,0.0,55044.0,SAFCO,42.0,0.25,2.0,Central,167.0,Home Office,2015-06-06,Second Class,Minnesota,Storage,2015,334.0,111207.0
2015-06-01,CA-2015-131926,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Lakeville,United States,Dianna Wilson,0.0,55044.0,Adams,24.0,0.5,6.0,Central,48.0,Home Office,2015-06-06,Second Class,Minnesota,Paper,2015,288.0,111495.0
2015-06-01,CA-2015-131926,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Lakeville,United States,Dianna Wilson,0.0,55044.0,Honeywell,496.0,0.33,5.0,Central,1503.0,Home Office,2015-06-06,Second Class,Minnesota,Appliances,2015,7515.0,119010.0
2015-06-01,CA-2015-131926,Xerox 205,Office Supplies,Lakeville,United States,Dianna Wilson,0.0,55044.0,Xerox,12.0,0.48,4.0,Central,26.0,Home Office,2015-06-06,Second Class,Minnesota,Paper,2015,104.0,119114.0
2015-09-19,US-2015-106992,Lexmark MX611dhe Monochrome Laser Printer,Technology,Houston,United States,Sean Braxton,0.4,77036.0,Other,-510.0,-0.17,3.0,Central,3060.0,Corporate,2015-09-21,Second Class,Texas,Machines,2015,9180.0,128294.0
2015-09-19,US-2015-106992,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Houston,United States,Sean Braxton,0.4,77036.0,Xerox,-252.0,-0.1,7.0,Central,2520.0,Corporate,2015-09-21,Second Class,Texas,Machines,2015,17640.0,145934.0
2015-12-30,CA-2015-130960,Newell 350,Office Supplies,Taylor,United States,Ken Brennan,0.0,48180.0,Newell,3.0,0.29,3.0,Central,10.0,Corporate,2016-01-04,Standard Class,Michigan,Art,2015,30.0,145964.0
2015-06-07,US-2015-134971,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Peoria,United States,Bart Pistole,0.8,61604.0,Wilson Jones,-21.0,-1.65,3.0,Central,12.0,Corporate,2015-06-10,Second Class,Illinois,Binders,2015,36.0,146000.0
2015-10-29,CA-2015-154627,Apple iPhone 5S,Technology,Chicago,United States,Sue Ann Reed,0.2,60610.0,Apple,342.0,0.13,6.0,Central,2736.0,Consumer,2015-10-31,First Class,Illinois,Phones,2015,16416.0,162416.0
2015-06-09,CA-2015-133753,Square Credit Card Reader,Technology,Huntsville,United States,Carl Weiss,0.2,77340.0,Square,1.0,0.08,1.0,Central,8.0,Home Office,2015-06-13,Second Class,Texas,Phones,2015,8.0,162424.0
2015-06-09,CA-2015-133753,Logitech M510 Wireless Mouse,Technology,Huntsville,United States,Carl Weiss,0.2,77340.0,Logitech,10.0,0.16,2.0,Central,64.0,Home Office,2015-06-13,Second Class,Texas,Accessories,2015,128.0,162552.0
2015-06-09,CA-2015-133753,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,Huntsville,United States,Carl Weiss,0.2,77340.0,Boston,6.0,0.09,2.0,Central,70.0,Home Office,2015-06-13,Second Class,Texas,Art,2015,140.0,162692.0
2015-02-01,CA-2015-140795,Enermax Aurora Lite Keyboard,Technology,Green Bay,United States,Bradley Drucker,0.0,54302.0,Enermax,206.0,0.44,6.0,Central,469.0,Consumer,2015-02-03,First Class,Wisconsin,Accessories,2015,2814.0,165506.0
2015-05-11,CA-2015-103849,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Fort Worth,United States,Paul Gonzalez,0.2,76106.0,SanDisk,7.0,0.13,2.0,Central,58.0,Consumer,2015-05-16,Standard Class,Texas,Accessories,2015,116.0,165622.0
2015-05-11,CA-2015-103849,Xblue XB-1670-86 X16 SmallÂ Office TelephoneÂ - Titanium,Technology,Fort Worth,United States,Paul Gonzalez,0.2,76106.0,Other,6.0,0.06,1.0,Central,101.0,Consumer,2015-05-16,Standard Class,Texas,Phones,2015,101.0,165723.0
2015-05-11,CA-2015-103849,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Fort Worth,United States,Paul Gonzalez,0.6,76106.0,Deflect-o,-84.0,-1.28,4.0,Central,66.0,Consumer,2015-05-16,Standard Class,Texas,Furnishings,2015,264.0,165987.0
2015-01-09,CA-2015-135405,Newell 312,Office Supplies,Laredo,United States,Melanie Seite,0.2,78041.0,Newell,1.0,0.13,2.0,Central,9.0,Consumer,2015-01-13,Standard Class,Texas,Art,2015,18.0,166005.0
2015-01-09,CA-2015-135405,Memorex Micro Travel Drive 8 GB,Technology,Laredo,United States,Melanie Seite,0.2,78041.0,Memorex,10.0,0.31,3.0,Central,31.0,Consumer,2015-01-13,Standard Class,Texas,Accessories,2015,93.0,166098.0
2015-12-26,US-2015-111171,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Chicago,United States,Christina Anderson,0.8,60610.0,Cardinal,-15.0,-1.7,5.0,Central,9.0,Consumer,2015-12-31,Standard Class,Illinois,Binders,2015,45.0,166143.0
2015-01-04,CA-2015-112326,Avery 508,Office Supplies,Naperville,United States,Phillina Ober,0.2,60540.0,Avery,4.0,0.36,3.0,Central,12.0,Home Office,2015-01-08,Standard Class,Illinois,Labels,2015,36.0,166179.0
2015-01-04,CA-2015-112326,SAFCO Boltless Steel Shelving,Office Supplies,Naperville,United States,Phillina Ober,0.2,60540.0,SAFCO,-65.0,-0.24,3.0,Central,273.0,Home Office,2015-01-08,Standard Class,Illinois,Storage,2015,819.0,166998.0
2015-01-04,CA-2015-112326,GBC Standard Plastic Binding Systems Combs,Office Supplies,Naperville,United States,Phillina Ober,0.8,60540.0,GBC,-5.0,-1.55,2.0,Central,4.0,Home Office,2015-01-08,Standard Class,Illinois,Binders,2015,8.0,167006.0
2015-12-29,CA-2015-106803,Recycled Eldon Regeneration Jumbo File,Office Supplies,Cottage Grove,United States,Debra Catini,0.0,55016.0,Other,7.0,0.28,2.0,Central,25.0,Consumer,2016-01-02,Standard Class,Minnesota,Storage,2015,50.0,167056.0
2015-12-29,CA-2015-106803,ImationÂ 32GB Pocket Pro USB 3.0Â Flash DriveÂ - 32 GB - Black - 1 P ...,Technology,Cottage Grove,United States,Debra Catini,0.0,55016.0,Imation,48.0,0.4,4.0,Central,120.0,Consumer,2016-01-02,Standard Class,Minnesota,Accessories,2015,480.0,167536.0
2015-09-08,US-2015-115987,GBC ProClick Punch Binding System,Office Supplies,Tyler,United States,Lisa Hazard,0.8,75701.0,GBC,-79.0,-1.55,4.0,Central,51.0,Consumer,2015-09-13,Second Class,Texas,Binders,2015,204.0,167740.0
2015-09-09,CA-2015-144407,Alphabetical Labels for Top Tab Filing,Office Supplies,Detroit,United States,Maribeth Schnelling,0.0,48227.0,Other,52.0,0.5,7.0,Central,104.0,Consumer,2015-09-15,Standard Class,Michigan,Labels,2015,728.0,168468.0
2015-06-15,US-2015-141215,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,San Antonio,United States,Kelly Lampkin,0.3,78207.0,Lesro,-19.0,-0.19,2.0,Central,100.0,Corporate,2015-06-21,Standard Class,Texas,Tables,2015,200.0,168668.0
2015-06-15,US-2015-141215,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,San Antonio,United States,Kelly Lampkin,0.3,78207.0,Global,-57.0,-0.07,4.0,Central,798.0,Corporate,2015-06-21,Standard Class,Texas,Chairs,2015,3192.0,171860.0
2015-06-15,US-2015-141215,Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,San Antonio,United States,Kelly Lampkin,0.8,78207.0,Avery,-15.0,-1.7,3.0,Central,9.0,Corporate,2015-06-21,Standard Class,Texas,Binders,2015,27.0,171887.0
2015-05-12,CA-2015-127159,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Milwaukee,United States,Hunter Lopez,0.0,53209.0,DAX,11.0,0.31,7.0,Central,35.0,Consumer,2015-05-15,First Class,Wisconsin,Furnishings,2015,245.0,172132.0
2015-12-01,CA-2015-120474,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Madison,United States,Resi PÃ¶lking,0.0,53711.0,Office Star,674.0,0.24,8.0,Central,2808.0,Consumer,2015-12-03,First Class,Wisconsin,Chairs,2015,22464.0,194596.0
2015-05-05,CA-2015-110219,"Global Value Mid-Back Manager's Chair, Gray",Furniture,San Antonio,United States,Emily Burns,0.3,78207.0,Global,-9.0,-0.07,3.0,Central,128.0,Consumer,2015-05-08,First Class,Texas,Chairs,2015,384.0,194980.0
2015-09-20,CA-2015-120411,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Chicago,United States,Sarah Brown,0.3,60653.0,Bush,-70.0,-0.14,5.0,Central,493.0,Consumer,2015-09-23,First Class,Illinois,Bookcases,2015,2465.0,197445.0
2015-12-15,CA-2015-101602,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,El Paso,United States,Mick Crebagga,0.3,79907.0,Other,-22.0,-0.03,5.0,Central,763.0,Consumer,2015-12-18,First Class,Texas,Chairs,2015,3815.0,201260.0
2015-11-18,CA-2015-163468,Hon 4-Shelf Metal Bookcases,Furniture,Des Plaines,United States,Joe Kamberova,0.3,60016.0,Hon,-30.0,-0.07,6.0,Central,424.0,Consumer,2015-11-21,First Class,Illinois,Bookcases,2015,2544.0,203804.0
2015-11-18,CA-2015-163468,BPI Conference Tables,Furniture,Des Plaines,United States,Joe Kamberova,0.5,60016.0,Other,-175.0,-0.6,4.0,Central,292.0,Consumer,2015-11-21,First Class,Illinois,Tables,2015,1168.0,204972.0
2015-11-18,CA-2015-163468,Dana Swing-Arm Lamps,Furniture,Des Plaines,United States,Joe Kamberova,0.6,60016.0,Dana,-7.0,-0.88,2.0,Central,9.0,Consumer,2015-11-21,First Class,Illinois,Furnishings,2015,18.0,204990.0
2015-06-03,CA-2015-163867,"Contract Clock, 14"", Brown",Furniture,Decatur,United States,Richard Eichhorn,0.6,62521.0,Other,-40.0,-0.65,7.0,Central,62.0,Consumer,2015-06-06,First Class,Illinois,Furnishings,2015,434.0,205424.0
2015-02-18,US-2015-165589,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Lubbock,United States,Troy Blackwell,0.6,79424.0,DAX,-11.0,-0.45,5.0,Central,25.0,Consumer,2015-02-18,Same Day,Texas,Furnishings,2015,125.0,205549.0
2015-02-11,CA-2015-168368,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Columbia,United States,Guy Armstrong,0.0,65203.0,Global,15.0,0.25,1.0,Central,61.0,Consumer,2015-02-15,Second Class,Missouri,Chairs,2015,61.0,205610.0
2015-02-11,CA-2015-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Columbia,United States,Guy Armstrong,0.0,65203.0,Other,53.0,0.16,3.0,Central,333.0,Consumer,2015-02-15,Second Class,Missouri,Furnishings,2015,999.0,206609.0
2015-09-07,CA-2015-131002,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Tulsa,United States,Tom Boeckenhauer,0.0,74133.0,Executive Impressions,24.0,0.41,3.0,Central,58.0,Consumer,2015-09-12,Second Class,Oklahoma,Furnishings,2015,174.0,206783.0
2015-09-07,CA-2015-131002,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Tulsa,United States,Tom Boeckenhauer,0.0,74133.0,3M,214.0,0.26,6.0,Central,822.0,Consumer,2015-09-12,Second Class,Oklahoma,Furnishings,2015,4932.0,211715.0
2015-08-20,CA-2015-166716,"Global Leather and Oak Executive Chair, Black",Furniture,Chicago,United States,Craig Reiter,0.3,60610.0,Global,-6.0,-0.01,2.0,Central,421.0,Consumer,2015-08-25,Second Class,Illinois,Chairs,2015,842.0,212557.0
2015-05-21,CA-2015-127166,Global Deluxe Steno Chair,Furniture,Houston,United States,Katherine Hughes,0.3,77070.0,Global,-29.0,-0.27,2.0,Central,108.0,Consumer,2015-05-23,Second Class,Texas,Chairs,2015,216.0,212773.0
2015-04-20,CA-2015-134572,Riverside Furniture Stanwyck Manor Table Series,Furniture,Houston,United States,Seth Vernon,0.3,77070.0,Riverside,-132.0,-0.33,2.0,Central,402.0,Consumer,2015-04-22,Second Class,Texas,Tables,2015,804.0,213577.0
2015-10-03,CA-2015-153976,"Global High-Back Leather Tilter, Burgundy",Furniture,Evanston,United States,Beth Paige,0.3,60201.0,Global,-70.0,-0.27,3.0,Central,258.0,Consumer,2015-10-08,Second Class,Illinois,Chairs,2015,774.0,214351.0
2015-04-20,CA-2015-134572,Bush Advantage Collection Round Conference Table,Furniture,Houston,United States,Seth Vernon,0.3,77070.0,Bush,-96.0,-0.13,5.0,Central,744.0,Consumer,2015-04-22,Second Class,Texas,Tables,2015,3720.0,218071.0
2015-06-07,CA-2015-106229,"Bevis Round Conference Table Top, X-Base",Furniture,Aurora,United States,Nick Radford,0.5,60505.0,Bevis,-210.0,-0.78,3.0,Central,269.0,Consumer,2015-06-11,Second Class,Illinois,Tables,2015,807.0,218878.0
2015-10-17,CA-2015-103086,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Houston,United States,Evan Bailliet,0.6,77095.0,G. E.,-2.0,-0.3,2.0,Central,5.0,Consumer,2015-10-19,Second Class,Texas,Furnishings,2015,10.0,218888.0
2015-12-06,CA-2015-110030,12-1/2 Diameter Round Wall Clock,Furniture,Houston,United States,Luke Foster,0.6,77095.0,Other,-14.0,-0.6,3.0,Central,24.0,Consumer,2015-12-08,Second Class,Texas,Furnishings,2015,72.0,218960.0
2015-12-16,CA-2015-113257,Longer-Life Soft White Bulbs,Furniture,Beaumont,United States,Sean Christensen,0.6,77705.0,Other,-3.0,-0.3,7.0,Central,9.0,Consumer,2015-12-18,Second Class,Texas,Furnishings,2015,63.0,219023.0
2015-04-04,CA-2015-133228,Advantus Panel Wall Acrylic Frame,Furniture,Detroit,United States,Maurice Satty,0.0,48205.0,Advantus,2.0,0.43,1.0,Central,5.0,Consumer,2015-04-09,Standard Class,Michigan,Furnishings,2015,5.0,219028.0
2015-11-10,CA-2015-121006,Hon Every-Day Series Multi-Task Chairs,Furniture,Midland,United States,Sam Craven,0.0,48640.0,Hon,113.0,0.2,3.0,Central,564.0,Consumer,2015-11-16,Standard Class,Michigan,Chairs,2015,1692.0,220720.0
2015-01-20,CA-2015-167927,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Westland,United States,Xylona Preis,0.0,48185.0,Eldon,30.0,0.11,3.0,Central,273.0,Consumer,2015-01-26,Standard Class,Michigan,Furnishings,2015,819.0,221539.0
2015-01-20,CA-2015-167927,Ultra Door Push Plate,Furniture,Westland,United States,Xylona Preis,0.0,48185.0,Ultra,5.0,0.33,3.0,Central,15.0,Consumer,2015-01-26,Standard Class,Michigan,Furnishings,2015,45.0,221584.0
2015-03-28,US-2015-137869,Hon 94000 Series Round Tables,Furniture,Des Moines,United States,Christina VanderZanden,0.0,50315.0,Hon,107.0,0.09,4.0,Central,1185.0,Consumer,2015-04-02,Standard Class,Iowa,Tables,2015,4740.0,226324.0
2015-06-16,CA-2015-136644,"Global Geo Office Task Chair, Gray",Furniture,Mishawaka,United States,Sonia Cooley,0.0,46544.0,Global,32.0,0.05,8.0,Central,648.0,Consumer,2015-06-22,Standard Class,Indiana,Chairs,2015,5184.0,231508.0
2015-05-26,CA-2015-144029,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chicago,United States,Michelle Moray,0.3,60623.0,Global,-5.0,-0.01,2.0,Central,360.0,Consumer,2015-05-31,Standard Class,Illinois,Chairs,2015,720.0,232228.0
2015-11-16,US-2015-139500,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Decatur,United States,Alan Barnes,0.3,62521.0,SAFCO,-1.0,-0.03,2.0,Central,37.0,Consumer,2015-11-20,Standard Class,Illinois,Chairs,2015,74.0,232302.0
2015-08-05,CA-2015-124723,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Texas City,United States,Gary Zandusky,0.3,77590.0,SAFCO,42.0,0.09,2.0,Central,489.0,Consumer,2015-08-12,Standard Class,Texas,Tables,2015,978.0,233280.0
2015-04-18,CA-2015-100678,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Houston,United States,Kunst Miller,0.3,77095.0,DMI,-18.0,-0.06,3.0,Central,317.0,Consumer,2015-04-22,Standard Class,Texas,Chairs,2015,951.0,234231.0
2015-03-01,CA-2015-168312,Bevis Round Conference Room Tables and Bases,Furniture,Houston,United States,Giulietta Weimer,0.3,77036.0,Bevis,-43.0,-0.11,3.0,Central,377.0,Consumer,2015-03-07,Standard Class,Texas,Tables,2015,1131.0,235362.0
2015-03-29,CA-2015-137274,Bush Advantage Collection Racetrack Conference Table,Furniture,Plano,United States,Mike Gockenbach,0.3,75023.0,Bush,-153.0,-0.17,3.0,Central,891.0,Consumer,2015-04-02,Standard Class,Texas,Tables,2015,2673.0,238035.0
2015-11-11,US-2015-140914,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chicago,United States,Brosina Hoffman,0.3,60653.0,Global,-57.0,-0.07,4.0,Central,798.0,Consumer,2015-11-15,Standard Class,Illinois,Chairs,2015,3192.0,241227.0
2015-11-07,CA-2015-159310,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Houston,United States,Steven Cartwright,0.3,77070.0,Hon,0.0,0.0,4.0,Central,683.0,Consumer,2015-11-12,Standard Class,Texas,Chairs,2015,2732.0,243959.0
2015-09-08,CA-2015-146283,SAFCO Arco Folding Chair,Furniture,Houston,United States,Kean Takahito,0.3,77036.0,SAFCO,-14.0,-0.01,5.0,Central,967.0,Consumer,2015-09-15,Standard Class,Texas,Chairs,2015,4835.0,248794.0
2015-03-01,CA-2015-131009,Harbour Creations Steel Folding Chair,Furniture,El Paso,United States,Shahid Collister,0.3,79907.0,Other,0.0,0.0,6.0,Central,362.0,Consumer,2015-03-05,Standard Class,Texas,Chairs,2015,2172.0,250966.0
2015-06-20,CA-2015-166863,"Hon Metal Bookcases, Black",Furniture,Plano,United States,Sam Craven,0.32,75023.0,Hon,-20.0,-0.1,4.0,Central,193.0,Consumer,2015-06-24,Standard Class,Texas,Bookcases,2015,772.0,251738.0
2015-05-30,CA-2015-145800,Chromcraft Rectangular Conference Tables,Furniture,Buffalo Grove,United States,Shahid Shariari,0.5,60089.0,Chromcraft,-185.0,-0.52,3.0,Central,355.0,Consumer,2015-06-05,Standard Class,Illinois,Tables,2015,1065.0,252803.0
2015-12-06,US-2015-140452,KI Adjustable-Height Table,Furniture,Chicago,United States,Berenike Kampe,0.5,60610.0,KI,-120.0,-0.56,5.0,Central,215.0,Consumer,2015-12-10,Standard Class,Illinois,Tables,2015,1075.0,253878.0
2015-05-25,US-2015-130379,"Electrix Incandescent Magnifying Lamp, Black",Furniture,Chicago,United States,Janet Lee,0.6,60623.0,Electrix,-24.0,-0.83,2.0,Central,29.0,Consumer,2015-05-29,Standard Class,Illinois,Furnishings,2015,58.0,253936.0
2015-11-11,US-2015-140914,DAX Wood Document Frame.,Furniture,Chicago,United States,Brosina Hoffman,0.6,60653.0,DAX,-8.0,-0.73,2.0,Central,11.0,Consumer,2015-11-15,Standard Class,Illinois,Furnishings,2015,22.0,253958.0
2015-12-16,CA-2015-108273,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Huntsville,United States,Ed Jacobs,0.6,77340.0,Tenex,-75.0,-1.33,2.0,Central,57.0,Consumer,2015-12-21,Standard Class,Texas,Furnishings,2015,114.0,254072.0
2015-12-06,US-2015-140452,Nu-Dell Float Frame 11 x 14 1/2,Furniture,Chicago,United States,Berenike Kampe,0.6,60610.0,Nu-Dell,-5.0,-0.45,3.0,Central,11.0,Consumer,2015-12-10,Standard Class,Illinois,Furnishings,2015,33.0,254105.0
2015-12-29,CA-2015-126802,Tenex Chairmats For Use with Hard Floors,Furniture,Chicago,United States,Zuschuss Carroll,0.6,60610.0,Tenex,-51.0,-1.3,3.0,Central,39.0,Consumer,2016-01-05,Standard Class,Illinois,Furnishings,2015,117.0,254222.0
2015-11-12,CA-2015-122609,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Carrollton,United States,Darren Powers,0.6,75007.0,GE,-7.0,-0.28,3.0,Central,25.0,Consumer,2015-11-18,Standard Class,Texas,Furnishings,2015,75.0,254297.0
2015-10-03,CA-2015-120775,DAX Natural Wood-Tone Poster Frame,Furniture,Dallas,United States,Russell D'Ascenzo,0.6,75217.0,DAX,-19.0,-0.6,3.0,Central,32.0,Consumer,2015-10-07,Standard Class,Texas,Furnishings,2015,96.0,254393.0
2015-01-07,CA-2015-105417,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Huntsville,United States,Vivek Sundaresam,0.6,77340.0,Howard Miller,-54.0,-0.7,3.0,Central,77.0,Consumer,2015-01-12,Standard Class,Texas,Furnishings,2015,231.0,254624.0
2015-07-26,CA-2015-169019,DAX Clear Channel Poster Frame,Furniture,San Antonio,United States,Luke Foster,0.6,78207.0,DAX,-10.0,-0.58,3.0,Central,17.0,Consumer,2015-07-30,Standard Class,Texas,Furnishings,2015,51.0,254675.0
2015-12-27,CA-2015-162866,DAX Wood Document Frame,Furniture,Skokie,United States,Corey-Lock,0.6,60076.0,DAX,-20.0,-0.6,6.0,Central,33.0,Consumer,2015-12-31,Standard Class,Illinois,Furnishings,2015,198.0,254873.0
2015-03-01,CA-2015-131009,DAX Black Cherry Wood-Tone Poster Frame,Furniture,El Paso,United States,Shahid Collister,0.6,79907.0,DAX,-35.0,-0.55,6.0,Central,64.0,Consumer,2015-03-05,Standard Class,Texas,Furnishings,2015,384.0,255257.0
2015-12-20,CA-2015-103100,Avery 487,Office Supplies,Indianapolis,United States,Adrian Barton,0.0,46203.0,Avery,2.0,0.47,1.0,Central,4.0,Consumer,2015-12-23,First Class,Indiana,Labels,2015,4.0,255261.0
2015-08-22,US-2015-166828,Xerox 1899,Office Supplies,Saint Charles,United States,Jennifer Ferguson,0.0,63301.0,Xerox,6.0,0.49,2.0,Central,12.0,Consumer,2015-08-25,First Class,Missouri,Paper,2015,24.0,255285.0
2015-12-20,CA-2015-103100,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Indianapolis,United States,Adrian Barton,0.0,46203.0,Ibico,497.0,0.45,3.0,Central,1104.0,Consumer,2015-12-23,First Class,Indiana,Binders,2015,3312.0,258597.0
